Territorial,Expediente,Estado,Naturaleza,Clase de Empresa,Municipio,Corregimiento,Vereda,Actividad,Resolución,Descriptor,Fecha Resolución
Zenufaná,ZF6-2004-1,Archivado,Jurídica,-No aplica-,Puerto Nare,La Sierra,No registrada,Descargas Atmosféricas por chimeneas o ductos (industriales),130ZF-1105-4506,Por la cual se adopta una decisión,23/05/2011
Panzenú,PZ6-2016-1,Activo,Jurídica,Privada,Zaragoza,No registrado,Chilona,Emisiones transitorias (construcciones),160PZ-RES2207-4302,Por la cual se prorroga un permiso,28/07/2022
Aburrá Sur,AS6-2007-1,Archivado,Jurídica,Privada,Caldas,No registrado,La Aguacatala,Descargas Atmosféricas por chimeneas o ductos (industriales),130AS-3965,Por la cual se otorga un permiso de emisiones atmosféricas para fuentes fijas,30/03/2007
Aburrá Norte,AN6-2014-4,Activo,Jurídica,Privada,Medellín,Altavista,No registrada,Descargas Atmosféricas por chimeneas o ductos (industriales),160AN-RES2201-265,Por la cual se otorga un plazo adicional,20/01/2022
Zenufaná,ZF6-2011-2,Archivado,Jurídica,Privada,Yolombó,No registrado,No registrada,Quemas abiertas controladas en zonas rurales,160ZF-1504-7112,Por la cual se archiva un expediente,23/04/2015
Tahamíes,TH6-2013-1,Archivado,Natural,-No aplica-,Yarumal,No registrado,Mina Vieja,"Incineración de Residuos sólidos, líquidos, gaseosos.",160TH-1505-11649,Por la cual se niega un permiso,06/05/2015
Aburrá Sur,AS6-2017-13,Archivado,Jurídica,Privada,Itaguí,No registrado,No registrada,Industrial,160AS-RES1802-696,Por la cual se otorga un plazo adicional,15/02/2018
Aburrá Norte,AN6-2007-1,Archivado,Jurídica,Privada,Medellín,San Cristobal,Las Playas,Descargas Atmosféricas por chimeneas o ductos (industriales),160AN-RES1703-1415,Por la cual se archiva un expediente,21/03/2017
Aburrá Sur,AS6-2016-2,Activo,Jurídica,Privada,Amagá,No registrado,No registrada,Descargas Atmosféricas por chimeneas o ductos (industriales),160AS-RES2103-1670,Por la cual se otorga un plazo adicional,24/03/2021
Zenufaná,ZF6-2005-5,Archivado,Natural,-No aplica-,Segovia,No registrado,No registrada,Emisiones de contaminantes por explotación minera,160ZF-1612-8393,Por la cual se archiva un expediente,14/12/2016
Panzenú,PZ6-2017-11,Archivado,Jurídica,Privada,Caucasia,No registrado,El Tigre N 1,Emisiones de contaminantes por explotación minera,160PZ-RES1706-3286,Por la cual se otorga un permiso,29/06/2017
Hevéxicos,HX6-2014-2,Archivado,Jurídica,Privada,Santa Fé De Antioquia,No registrado,No registrada,Procesos susceptibles de producir emisiones de sust. tóxicas,160HX-RES2010-5760,Por la cual se adopta una decisión,09/10/2020
Zenufaná,ZF6-2004-5,Archivado,Natural,-No aplica-,Segovia,No registrado,No registrada,Emisiones de contaminantes por explotación minera,130ZF-1104-4427,Por la cual se adopta una decisión,29/04/2011
Aburrá Sur,AS6-2009-1,Archivado,Jurídica,Privada,La Estrella,No registrado,No registrada,Operación de calderas,160AS-1504-9155,Por la cual se otorga un plazo adicional,28/04/2015
Tahamíes,TH6-1996-4,Archivado,Jurídica,Privada,Yarumal,Llanos De Cuiva,No registrada,Industrial,130TH-4070,Por la cual se otorga un permiso de emisiones atmosféricas para fuentes fijas,05/05/2005
Zenufaná,ZF6-2010-5,Archivado,Jurídica,Privada,Yolombó,No registrado,No registrada,Quemas abiertas controladas en zonas rurales,130ZF-1212-5591,Por la cual se otorga un permiso,10/12/2012
Aburrá Norte,AN6-2005-4,Archivado,Jurídica,Privada,Medellín,Altavista,Aguas Frias,Descargas Atmosféricas por chimeneas o ductos (industriales),No registra,Por la cual se resuelve un recurso de reposición,26/01/2012
Aburrá Sur,AS6-2013-3,Archivado,Jurídica,Privada,Itaguí,No registrado,Los Gómez,Operación de calderas,160AS-RES2011-6282,Por la cual se revoca un acto administrativo,09/11/2020
Aburrá Norte,AN6-2014-1,Activo,Jurídica,Privada,Medellín,Altavista,No registrada,Descargas Atmosféricas por chimeneas o ductos (industriales),160AN-1509-17242,Por la cual se otorga un permiso,09/09/2015
Zenufaná,ZF6-2004-12,Archivado,Natural,-No aplica-,Segovia,No registrado,No registrada,Descargas Atmosféricas por chimeneas o ductos(Comerciales),130ZF-1105-4482,Por la cual se adopta una decisión,16/05/2011
Aburrá Norte,AN6-2006-1,Archivado,Jurídica,Privada,Girardota,No registrado,La Palma,Descargas Atmosféricas por chimeneas o ductos (industriales),130AN-4194,Por la cual se adopta una decisión,06/01/2006
Aburrá Norte,AN6-2004-1,Archivado,Jurídica,Privada,Girardota,No registrado,La Matica,Descargas Atmosféricas por chimeneas o ductos (industriales),130AN-4725,Por la cual se toma una determinación,05/07/2006
Aburrá Norte,AN6-1996-97,Archivado,Jurídica,Privada,Copacabana,No registrado,Machado,No aplica,130AN-1104-11274,Por la cual se adopta una decisión,11/04/2011
Zenufaná,ZF6-2012-7,Archivado,Jurídica,Privada,Yolombó,No registrado,Cachumbal,Quemas abiertas controladas en zonas rurales,130ZF-1309-6136,Por la cual se otorga un permiso,13/09/2013
Aburrá Norte,AN6-1996-5,Archivado,Jurídica,Privada,Bello,No registrado,Granizal,Descargas Atmosféricas por chimeneas o ductos (industriales),160AN-RES1705-2253,Por la cual se archiva un expediente,09/05/2017
Zenufaná,ZF6-2016-1,Archivado,Jurídica,Privada,Puerto Berrío,No registrado,No registrada,Industrial,160ZF-RES1701-166,Por la cual se otorga un permiso,11/01/2017
Panzenú,PZ6-2017-7,Activo,Jurídica,Privada,Zaragoza,No registrado,Chilona,Operación de calderas,160PZ-RES1706-2791,Por la cual se otorga un permiso,02/06/2017
Aburrá Norte,AN6-2014-3,Activo,Jurídica,Privada,Medellín,Altavista,Aguas Frias,No aplica,160AN-RES2010-5956,Por la cual se prorroga un permiso,23/10/2020
Tahamíes,TH6-2011-1,Archivado,Jurídica,Privada,Santa Rosa De Osos,No registrado,No registrada,Descargas Atmosféricas por chimeneas o ductos(servicio),130TH-1209-9394,Por la cual se termina anticipadamente un trámite o permiso,11/09/2012
Zenufaná,ZF6-2011-2,Archivado,Jurídica,Privada,Yolombó,No registrado,No registrada,Quemas abiertas controladas en zonas rurales,130ZF-1202-5013,Por la cual se otorga un permiso,17/02/2012
Zenufaná,ZF6-2011-7,Archivado,Jurídica,Privada,Yolombó,No registrado,El Comino,Quemas abiertas controladas en zonas rurales,No registra,Por la cual se otorga un permiso,13/04/2012
Zenufaná,ZF6-2003-1,Archivado,Natural,-No aplica-,Remedios,No registrado,No registrada,No aplica,130ZF-1018,Por la cual se otorga un permiso de emisiones atmosféricas para fuentes fijas,01/04/2004
Cartama,CA6-2015-2,Archivado,Jurídica,Privada,Venecia,No registrado,Sinifaná,Industrial,160CA-RES2110-6531,Por la cual se traspasa un permiso,11/10/2021
Zenufaná,ZF6-2007-5,Activo,Jurídica,Publica,Puerto Nare,La Sierra,No registrada,Operación de plantas termoeléctricas,130ZF-1411-6799,Por la cual se adopta una decisión,05/11/2014
Tahamíes,TH6-2009-2,Archivado,Jurídica,Privada,Santa Rosa De Osos,No registrado,No registrada,Descargas Atmosféricas por chimeneas o ductos (industriales),160TH-RES1903-1651,Por la cual se termina anticipadamente un trámite o permiso,29/03/2019
Zenufaná,ZF6-2009-10,Activo,Jurídica,Privada,Puerto Nare,La Sierra,Caño Seco,Explotación minera,130ZF-1403-6421,Por la cual se resuelve un recurso de reposición,13/03/2014
Zenufaná,ZF6-2010-6,Archivado,Jurídica,Privada,Caracolí,No registrado,Canalones,Quemas abiertas controladas en zonas rurales,130ZF-1312-6308,Por la cual se archiva un expediente,12/12/2013
Aburrá Sur,AS6-2018-14,Archivado,Jurídica,Privada,La Estrella,La Tablaza,No registrada,Descargas Atmosféricas por chimeneas o ductos (industriales),160AS-RES2004-1720,Por la cual se revoca un acto administrativo,03/04/2020
Zenufaná,ZF6-2009-7,Archivado,Natural,-No aplica-,Segovia,No registrado,No registrada,Explotación minera,130ZF-1201-4886,Por la cual se adopta una decisión,18/01/2012
Tahamíes,TH6-2015-2,Archivado,Jurídica,Privada,Santa Rosa De Osos,No registrado,No registrada,No aplica,160TH-1509-11883,Por la cual se otorga un permiso,01/09/2015
Cartama,CA6-2015-1,Activo,Natural,-No aplica-,Fredonia,Palomos,No registrada,Industrial,160CA-RES2412-5873,Por la cual se prorroga un permiso,26/12/2024
Aburrá Norte,AN6-1996-108,Archivado,Jurídica,Privada,Copacabana,No registrado,Ancón 2,Industrial,130AN-1405-15060,Por la cual se niega una prorroga,13/05/2014
Panzenú,PZ6-2019-11,Activo,Jurídica,Privada,Tarazá,No registrado,No registrada,Industrial,160PZ-RES2003-1481,Por la cual se otorga un permiso,27/03/2020
Zenufaná,ZF6-2012-1,Archivado,Jurídica,Privada,Amalfi,No registrado,No registrada,Quemas abiertas controladas en zonas rurales,130ZF-1207-5332,Por la cual se otorga un permiso,27/07/2012
Aburrá Sur,AS6-2010-1,Archivado,Jurídica,Privada,Caldas,No registrado,Sinifaná,Explotación minera,130AS-1203-6673,Por la cual se adopta una decisión,16/03/2012
Zenufaná,ZF6-2014-1,Activo,Natural,-No aplica-,Remedios,No registrado,No registrada,Utilización de Aceites usados,160ZF-RES2306-2589,Por la cual se adopta una decisión,07/06/2023
Panzenú,PZ6-2017-14,Archivado,Jurídica,Privada,Caucasia,No registrado,No registrada,Descargas Atmosféricas por chimeneas o ductos(Comerciales),160PZ-RES1709-5061,Por la cual se otorga un permiso,21/09/2017
Aburrá Sur,AS6-2020-1,Activo,Jurídica,Privada,Amagá,No registrado,La Gualí,No aplica,160AS-RES2310-5200,"Por la cual se modifica un permiso, concesión o autorización",17/10/2023
Zenufaná,ZF6-2017-1,Archivado,Jurídica,Privada,Amalfi,No registrado,No registrada,Quemas abiertas controladas en zonas rurales,160ZF-RES1703-1585,Por la cual se inadmite una solicitud,30/03/2017
Aburrá Sur,AS6-2013-1,Archivado,Jurídica,Privada,Amagá,Camilo C,No registrada,Almacenamiento de petróleo y sus derivados.,130AS-1303-7439,Por la cual se inadmite una solicitud,08/03/2013
Tahamíes,TH6-2019-15,Activo,Jurídica,Privada,Yarumal,No registrado,No registrada,Procesos o actividades susceptibles de producir misiones de,160TH-RES2311-5699,Por la cual se adopta una decisión,08/11/2023
Zenufaná,ZF6-2011-1,Archivado,Jurídica,Privada,Yolombó,San Cristobal,El Yolombo,Quemas abiertas controladas en zonas rurales,160ZF-1605-8080,Por la cual se archiva un expediente,25/05/2016
Zenufaná,ZF6-2007-1,Archivado,Jurídica,Privada,Segovia,No registrado,No registrada,Descargas Atmosféricas por chimeneas o ductos (industriales),130ZF-1105-4521,Por la cual se cambia de solicitante,26/05/2011
Panzenú,PZ6-2014-1,Archivado,Natural,-No aplica-,Tarazá,No registrado,No registrada,Emisiones transitorias (construcciones),130PZ-1407-2826,Por la cual se otorga un permiso,03/07/2014
Zenufaná,ZF6-2010-1,Archivado,Jurídica,Privada,Vegachí,No registrado,No registrada,Quemas abiertas controladas en zonas rurales,130ZF-1104-4412,Por la cual se otorga un permiso,25/04/2011
Hevéxicos,HX6-2020-11,Activo,Jurídica,Privada,San Jerónimo,No registrado,No registrada,No aplica,160HX-RES2102-961,Por la cual se otorga un permiso,19/02/2021
Aburrá Norte,AN6-2019-3,Archivado,Jurídica,Privada,Girardota,No registrado,San Diego,Industrial,160AN-RES2102-1112,Por la cual se acepta un desistimiento,26/02/2021
Zenufaná,ZF6-2015-3,Activo,Jurídica,Privada,Remedios,No registrado,El Chiquillo,Industrial,160ZF-RES2202-1005,Por la cual se prorroga un permiso,24/02/2022
Aburrá Norte,AN6-2012-4,Activo,Jurídica,Privada,Medellín,San Cristobal,No registrada,Industrial,160AN-RES2211-6982,Por la cual se prorroga un permiso,24/11/2022
Aburrá Sur,AS6-2018-14,Archivado,Jurídica,Privada,La Estrella,La Tablaza,No registrada,Descargas Atmosféricas por chimeneas o ductos (industriales),160AS-RES1911-6655,Por la cual se otorga un permiso,19/11/2019
Aburrá Norte,AN6-2017-15,Activo,Jurídica,Privada,Medellín,San Cristobal,Las Playas,Industrial,160AN-RES1810-5884,Por la cual se otorga un permiso,30/10/2018
Panzenú,PZ6-2018-4,Archivado,Jurídica,Privada,Zaragoza,No registrado,Chilona Abajo,Explotación minera,160PZ-RES1805-2680,Por la cual se otorga un permiso,18/05/2018
Tahamíes,TH6-2010-2,Archivado,Jurídica,Privada,Yarumal,No registrado,Santa Isabel,Quemas abiertas controladas en zonas rurales,130TH-1211-9643,Por la cual se termina anticipadamente un trámite o permiso,30/11/2012
Zenufaná,ZF6-2014-2,Archivado,Jurídica,Privada,Segovia,No registrado,No registrada,Descargas Atmosféricas por chimeneas o ductos(servicio),160ZF-RES1911-6672,Por la cual se acepta un desistimiento,19/11/2019
Aburrá Norte,AN6-2004-1,Archivado,Jurídica,Privada,Girardota,No registrado,La Matica,Descargas Atmosféricas por chimeneas o ductos (industriales),130AN-3436,Por la cual se toma una determinación,20/06/2005
Zenufaná,ZF6-2012-4,Archivado,Jurídica,Privada,Vegachí,No registrado,No registrada,Quemas abiertas controladas en zonas rurales,130ZF-1305-5944,Por la cual se otorga un permiso,17/05/2013
Aburrá Norte,AN6-2005-1,Activo,Jurídica,Privada,Girardota,No registrado,San Esteban,Descargas Atmosféricas por chimeneas o ductos (industriales),160AN-RES1705-2658,Por la cual se prorroga un permiso,30/05/2017
Panzenú,PZ6-2017-7,Activo,Jurídica,Privada,Zaragoza,No registrado,Chilona,Operación de calderas,160PZ-RES2207-4345,Por la cual se prorroga un permiso,29/07/2022
Zenufaná,ZF6-2009-10,Activo,Jurídica,Privada,Puerto Nare,La Sierra,Caño Seco,Explotación minera,160ZF-1612-8383,Por la cual se otorga un permiso,13/12/2016
Aburrá Sur,AS6-1996-20,Archivado,Jurídica,Privada,Amagá,No registrado,La Gualí,Descargas Atmosféricas por chimeneas o ductos (industriales),130AS-23,Por la cual se niega un permiso de emisiones atmosféricas para fuentes fijas,11/01/1995
Zenufaná,ZF6-2013-1,Activo,Jurídica,Privada,Puerto Nare,La Sierra,No registrada,Industrial,160ZF-RES1910-5301,Por la cual se adopta una decisión,02/10/2019
Zenufaná,ZF6-2017-2,Archivado,Jurídica,Privada,Yolombó,No registrado,Cachumbal,Quemas abiertas controladas en zonas rurales,160ZF-RES1704-1680,Por la cual se inadmite una solicitud,04/04/2017
Aburrá Sur,AS6-2013-3,Archivado,Jurídica,Privada,Itaguí,No registrado,Los Gómez,Operación de calderas,160AS-RES2003-1250,Por la cual se archiva un expediente,16/03/2020
Zenufaná,ZF6-2012-2,Archivado,Jurídica,Privada,Caracolí,No registrado,Botijas,Quemas abiertas controladas en zonas rurales,160ZF-RES1810-5786,Por la cual se archiva un expediente,23/10/2018
Zenufaná,ZF6-2009-11,Activo,Jurídica,Privada,Puerto Nare,No registrado,Canteras,Explotación minera,160ZF-RES2111-7959,Por la cual se prorroga un permiso,30/11/2021
Aburrá Norte,AN6-2015-1,Archivado,Jurídica,Privada,Medellín,San Cristobal,Las Playas,Industrial,160AN-1602-17800,Por la cual se niega un permiso,05/02/2016
Zenufaná,ZF6-2009-5,Archivado,Natural,-No aplica-,Segovia,No registrado,No registrada,Explotación minera,130ZF-1201-4894,Por la cual se adopta una decisión,18/01/2012
Aburrá Norte,AN6-2007-3,Archivado,Jurídica,Privada,Girardota,No registrado,San Diego,Descargas Atmosféricas por chimeneas o ductos (industriales),130AN-5388,Por la cual se aclara una decisión,20/11/2006
Zenufaná,ZF6-2014-3,Activo,Jurídica,Privada,Puerto Berrío,No registrado,No registrada,Descargas Atmosféricas por chimeneas o ductos(servicio),160ZF-1504-7118,Por la cual se adopta una decisión,30/04/2015
Aburrá Sur,AS6-2010-2,Activo,Jurídica,Privada,Sabaneta,No registrado,No registrada,Utilización de Aceites usados,130AS-1308-7773,Por la cual se adopta una decisión,29/08/2013
Panzenú,PZ6-2018-13,Archivado,Jurídica,Privada,Zaragoza,No registrado,No registrada,Industrial,160PZ-RES1903-1136,Por la cual se otorga un permiso,05/03/2019
Tahamíes,TH6-2012-2,Archivado,Jurídica,Privada,Yarumal,Llanos De Cuiva,No registrada,Industrial,130TH-1403-10678,Por la cual se inadmite una solicitud,21/03/2014
Aburrá Norte,AN6-2003-2,Activo,Jurídica,Privada,Medellín,San Cristobal,La Loma,Explotación minera,160AN-1502-16377,Por la cual se otorga un plazo adicional,26/02/2015
Aburrá Norte,AN6-1998-176,Archivado,Natural,-No aplica-,Bello,No registrado,Granizal,Industrial,160AN-RES2112-7996,Por la cual se declara el desistimiento tácito,01/12/2021
Zenufaná,ZF6-2009-10,Activo,Jurídica,Privada,Puerto Nare,La Sierra,Caño Seco,Explotación minera,160ZF-RES1807-3793,Por la cual se adopta una decisión,06/07/2018
Panzenú,PZ6-2008-1,Archivado,Jurídica,Privada,Caucasia,Las Malvinas,No registrada,Operación de calderas,130PZ-1663,Por la cual se otorga un permiso de emisiones atmosféricas para fuentes fijas,27/07/2009
Zenufaná,ZF6-2004-22,Archivado,Natural,-No aplica-,Segovia,No registrado,No registrada,Emisiones de contaminantes por explotación minera,130ZF-1108-4610,Por la cual se adopta una decisión,03/08/2011
Tahamíes,TH6-2009-1,Archivado,Jurídica,Privada,Yarumal,Llanos De Cuiva,No registrada,Descargas Atmosféricas por chimeneas o ductos (industriales),130TH-1212-9652,Por la cual se niega un permiso,06/12/2012
Zenufaná,ZF6-2018-2,Archivado,Natural,-No aplica-,Yalí,No registrado,San Pedrito,Quemas abiertas controladas en zonas rurales,160ZF-RES1809-5089,Por la cual se otorga un permiso,19/09/2018
Tahamíes,TH6-2010-4,Archivado,Jurídica,Privada,Toledo,No registrado,Taque,Descargas Atmosféricas por chimeneas o ductos (industriales),No registra,Por la cual se traspasa un permiso,21/12/2011
Aburrá Sur,AS6-2015-1,Archivado,Jurídica,Privada,Amagá,No registrado,La Gualí,Explotación minera,160AS-1512-9679,Por la cual se acepta un desistimiento tácito,04/12/2015
Panzenú,PZ6-2013-1,Activo,Jurídica,Privada,Caucasia,No registrado,No registrada,Industrial,160PZ-RES2101-262,Por la cual se prorroga un permiso,21/01/2021
Zenufaná,ZF6-2014-3,Activo,Jurídica,Privada,Puerto Berrío,No registrado,No registrada,Descargas Atmosféricas por chimeneas o ductos(servicio),160ZF-RES1703-1608,Por la cual se adopta una decisión,30/03/2017
Aburrá Sur,AS6-2014-1,Archivado,Jurídica,Privada,Amagá,No registrado,Piedecuesta,Producción de combustibles.,160AS-1506-9279,Por la cual se adopta una decisión,30/06/2015
Aburrá Norte,AN6-2012-4,Activo,Jurídica,Privada,Medellín,San Cristobal,No registrada,Industrial,130AN-1209-13429,Por la cual se otorga un permiso,14/09/2012
Aburrá Norte,AN6-2007-2,Archivado,Natural,-No aplica-,Copacabana,No registrado,Peñolcito,Explotación minera,160AN-1509-17265,Por la cual se acepta un desistimiento tácito,18/09/2015
Aburrá Sur,AS6-2012-2,Archivado,Jurídica,Privada,Envigado,No registrado,No registrada,Industrial,130AS-5010,Por la cual se aprueba verificacion de fuentes móviles,26/03/2009
Zenufaná,ZF6-2021-1,Archivado,Natural,-No aplica-,Yolombó,No registrado,Resumideros,No aplica,160ZF-RES2104-2078,Por la cual se declara el desistimiento tácito,15/04/2021
Aburrá Norte,AN6-2005-1,Activo,Jurídica,Privada,Girardota,No registrado,San Esteban,Descargas Atmosféricas por chimeneas o ductos (industriales),160AN-RES1705-2354,Por la cual se resuelve un recurso de reposición,15/05/2017
Aburrá Norte,AN6-2002-1,Archivado,Jurídica,Privada,Barbosa,No registrado,El Machete,Operación de calderas,130AN-1108-12315,Por la cual se adopta una decisión,31/08/2011
Zenufaná,ZF6-2020-9,Activo,Jurídica,Privada,Remedios,No registrado,Belén,Industrial,160ZF-RES2312-6574,Por la cual se archiva un expediente,13/12/2023
Aburrá Sur,AS6-2023-1,Archivado,Jurídica,Privada,Itaguí,No registrado,El Ajizal,Operación de calderas,160AS-RES2303-1164,Por la cual se otorga un permiso,31/03/2023
Zenufaná,ZF6-2005-21,Archivado,Jurídica,Privada,Amalfi,No registrado,No registrada,Emisiones de contaminantes por explotación minera,160ZF-RES1807-3768,Por la cual se archiva un expediente,04/07/2018
Aburrá Norte,AN6-2020-8,Archivado,Jurídica,Privada,Girardota,No registrado,La Palma,Operación de calderas,160AN-RES2210-5825,Por la cual se acepta un desistimiento,06/10/2022
Tahamíes,TH6-2015-1,Activo,Jurídica,Privada,Yarumal,Llanos De Cuiva,No registrada,Operación de calderas,160TH-1601-12460,Por la cual se otorga un permiso,26/01/2016
Panzenú,PZ6-2018-13,Archivado,Jurídica,Privada,Zaragoza,No registrado,No registrada,Industrial,160PZ-RES2111-7467,Por la cual se adopta una decisión,16/11/2021
Zenufaná,ZF6-2009-6,Archivado,Jurídica,Privada,Vegachí,No registrado,Corinto,Quemas abiertas controladas en zonas rurales,130ZF-1105-4489,Por la cual se adopta una decisión,17/05/2011
Aburrá Norte,AN6-2008-4,Archivado,Jurídica,Privada,Medellín,Altavista,No registrada,Operación de calderas,160AN-RES1805-2704,Por la cual se otorga un permiso y se toman otras determinaciones,21/05/2018
Aburrá Sur,AS6-2007-2,Archivado,Jurídica,Privada,Envigado,No registrado,No registrada,No aplica,130AS-3985,Por la cual se otorga un permiso de emisiones atmosféricas para fuentes fijas,24/04/2007
Aburrá Norte,AN6-2012-6,Activo,Jurídica,Privada,Medellín,No registrado,Belen Aguas Frias,Operación de calderas,160AN-RES1811-6475,Por la cual se niega una prorroga,22/11/2018
Cartama,CA6-2022-1,Archivado,Jurídica,Privada,Caramanta,No registrado,Aguadita Grande,Emisiones transitorias (construcciones),160CA-RES2208-4523,Por la cual se acepta un desistimiento,08/08/2022
Aburrá Norte,AN6-2020-10,Activo,Jurídica,Privada,Girardota,No registrado,San Andres,Industrial,160AN-RES2501-205,Por la cual se termina anticipadamente un trámite o permiso,22/01/2025
Tahamíes,TH6-2010-4,Archivado,Jurídica,Privada,Toledo,No registrado,Taque,Descargas Atmosféricas por chimeneas o ductos (industriales),130TH-1205-9015,Por la cual se niega una prorroga,07/05/2012
Zenufaná,ZF6-2009-12,Archivado,Jurídica,Privada,Vegachí,No registrado,El Churú,Quemas abiertas controladas en zonas rurales,130ZF-1201-4900,Por la cual se adopta una decisión,20/01/2012
Aburrá Norte,AN6-2019-6,Activo,Jurídica,Privada,Girardota,No registrado,San Diego,Industrial,160AN-RES2009-5408,Por la cual se otorga un permiso,24/09/2020
Aburrá Sur,AS6-2006-2,Archivado,-No aplica-,No registra,Envigado,No registrado,No registrada,No aplica,130AS-3822,Por la cual se prorroga un permiso de emisiones atmosféricas para fuentes fijas,11/01/2007
Zenufaná,ZF6-2004-3,Archivado,Natural,-No aplica-,Segovia,No registrado,No registrada,No aplica,130ZF-1104-4377,Por la cual se adopta una decisión,06/04/2011
Panzenú,PZ6-2000-1,Archivado,Jurídica,Privada,El Bagre,No registrado,No registrada,Industrial,130PZ-1207-2171,Por la cual se prorroga un permiso,27/07/2012
Aburrá Sur,AS6-2015-4,Archivado,Jurídica,Privada,Amagá,No registrado,Palenque,Explotación minera,160AS-RES1809-5172,Por la cual se archiva un expediente,21/09/2018
Zenufaná,ZF6-2012-5,Archivado,Jurídica,Privada,Yalí,No registrado,San Pedrito,Quemas abiertas controladas en zonas rurales,160ZF-RES1810-5784,Por la cual se archiva un expediente,23/10/2018
Aburrá Norte,AN6-1998-168,Archivado,Natural,-No aplica-,Medellín,Altavista,Aguas Frias,Emisiones de contaminantes por explotación minera,160AN-1510-17384,Por la cual se acepta un desistimiento tácito,22/10/2015
Zenufaná,ZF6-2020-9,Activo,Jurídica,Privada,Remedios,No registrado,Belén,Industrial,160ZF-RES2110-6489,Por la cual se resuelve un recurso de reposición,07/10/2021
Zenufaná,ZF6-2009-14,Archivado,Natural,-No aplica-,Segovia,No registrado,No registrada,Industrial,130ZF-1201-4890,Por la cual se adopta una decisión,18/01/2012
Aburrá Norte,AN6-2005-5,Archivado,Jurídica,Privada,Medellín,San Cristobal,Las Playas,Descargas Atmosféricas por chimeneas o ductos (industriales),130AN-7563,Por la cual se adopta una decisión,11/10/2007
Zenufaná,ZF6-2015-3,Activo,Jurídica,Privada,Remedios,No registrado,El Chiquillo,Industrial,160ZF-1602-7832,Por la cual se otorga un permiso,15/02/2016
Tahamíes,TH6-2015-2,Archivado,Jurídica,Privada,Santa Rosa De Osos,No registrado,No registrada,No aplica,160TH-RES2109-5571,Por la cual se archiva un expediente,02/09/2021
Zenufaná,ZF6-2020-4,Archivado,Jurídica,Privada,Puerto Berrío,No registrado,Dorado Calamar,Industrial,160ZF-RES2212-8402,Por la cual se prorroga una autorización,30/12/2022
Tahamíes,TH6-2017-17,Archivado,Jurídica,Privada,Anorí,No registrado,La Soledad,Explotación minera,160TH-RES2112-8503,Por la cual se acepta un desistimiento,15/12/2021
Aburrá Norte,AN6-2020-10,Activo,Jurídica,Privada,Girardota,No registrado,San Andres,Industrial,160AN-RES2111-7192,Por la cual se otorga un permiso,05/11/2021
Zenufaná,ZF6-2004-15,Archivado,Natural,-No aplica-,Segovia,No registrado,No registrada,Descargas Atmosféricas por chimeneas o ductos(servicio),130ZF-1104-4430,Por la cual se adopta una decisión,29/04/2011
Hevéxicos,HX6-2015-1,Archivado,Jurídica,Privada,Sopetrán,No registrado,No registrada,Industrial,160HX-1611-8547,Por la cual se resuelve un recurso de reposición,18/11/2016
Tahamíes,TH6-2013-2,Activo,Jurídica,Privada,Campamento,No registrado,La Solita,Explotación minera,160TH-1509-11900,Por la cual se adopta una decisión,09/09/2015
Zenufaná,ZF6-2005-20,Archivado,Natural,-No aplica-,Segovia,No registrado,No registrada,Descargas Atmosféricas por chimeneas o ductos(servicio),130ZF-4130,Por la cual se niega un permiso de emisiones atmosféricas para fuentes fijas,22/09/2010
