Categoría de Manejo,Nombre del Área Protegida,Área (ha),Acto Administrativo Declaratoria,Municipios de Inluencia,Atributos (valores objeto de conservación),Objetivos de Conservación,Tipo de Ecosistema presente en el AP,Acto Administrativo Plan de Manejo
Distrito Regional de Manejo Integrado,Ciénaga Chiqueros,"6,764.948411",Acuerdo 543 del 22 de agosto de 2018,Puerto Berrío,"Caimán aguja
Comunidad de Peces
Palma Nolí","1. Restaurar la conectividad de las coberturas boscosas existentes, a través de acciones de restauración, con el fin de conservar los hábitats de las comunidades presentes en la Ciénaga de Chiqueros.
2. Promover la recuperación de los suelos degradados de los ecosistemas presentes en la Ciénaga de Chiqueros, con el fin de mejorar su capacidad productiva; beneficiando así a las comunidades locales y regionales.
3. Mantener la oferta de bienes y servicios ecosistémicos de la Ciénaga de Chiqueros, mediante acciones de conservación, con el fin de garantizar la seguridad alimentaria de las comunidades a nivel local y regional. 
4. Preservar los hábitats naturales para favorecer la supervivencia de las poblaciones de especies de fauna y flora de distribución restringidas, raras y/o amenazadas que se asocian a los ecosistemas de la Ciénaga de Chiqueros.
5. Propender por la permanencia y apropiación social de los componentes naturales y culturales de la Ciénaga de Chiqueros para el deleite paisajístico, educación y valoración social de las comunidades locales y visitantes, a nivel local, nacional e internacional.",Bosques basales inundables,"Acuerdo 671 del 2023, Por el cual se adopta el Plan de Manejo del Distrito Regional de Manejo Integrado Ciénaga de Chiqueros declarado mediante Acuerdo del Consejo Directivo de CORANTIOQUIA No.180-ACU1808-543 del 22 de agosto de 2018"
Distrito Regional de Manejo Integrado,Ciénagas Corrales - El Ocho,"12,865.31842",Acuerdo  N°576 del 10 de diciembre del 2019,Nechí,"Coberturas boscosas del bosque húmedo Tropical (bh-T)
Especies de flora amenazadas
Recurso pesquero
Aves acuáticas migratorias
 Ateles hybridus (Mono araña) 
Crax Alberti (Paujil picoazul)","1. Proteger las áreas correspondientes a relictos boscosos del bosque húmedo Tropical (bh-T) y propiciar la restauración de las condiciones naturales de las ciénagas Corrales y el Ocho y demás ciénagas, favoreciendo la conectividad y consolidando una zona núcleo representativa de este ecosistema como hábitats para la vida de sus comunidades bióticas.
2. Conservar las poblaciones y los hábitats necesarios para la sobrevivencia de las especies o conjuntos de especies silvestres que presentan condiciones particulares de especial interés para la conservación de la biodiversidad, con énfasis en aquellas de distribución restringida.
3. Restaurar y recuperar el sistema de caños y ciénagas que componen la red hídrica de las cuencas de las ciénagas Corrales y el Ocho y demás ciénagas, con el fin de mejorar la condición de hábitat de las comunidades acuáticas e hidrobiológicas y su uso sostenible.
4. Mantener las coberturas naturales y espejos de agua en las cuencas de las ciénagas Corrales y El Ocho y demás ciénagas, así como las condiciones ambientales necesarias para regular la oferta de bienes y servicios ambientales que redunden en su uso sostenible.",Bosques basales inundables,Acuerdo 576 del 10 de diciembre de 2019
Distrito Regional de Manejo Integrado,Divisoria Valle de aburrá  rio cauca,"28,075.50929",Acuerdo 267 del 10 de septiembre de 2007,"Itagüí, La Estrella, Caldas, Amagá, Angelópolis, Heliconia, Bello, Medellín,  Ebéjico, San Jerónimo y San Pedro de los Milagros","Leopardus tigrinus (Tigrillo lanudo)  
Magnolia espinalii (Magnolio de monte o hojarasco)","1. Mantener la oferta de bienes y servicios ambientales como la captura de CO2, dada la cercanía al centro metrópoli y en especial en las áreas con potencial hídrico y que son abastecedoras de los acueductos veredales especialmente en la ladera occidental del valle de Aburra, Angelópolis, Caldas y Ebéjico.
2. Conservar recuperar y preservar las coberturas vegetales y especies con niveles de importancia económica y ecológica (el roble Quercus humboldtii, helecho arbóreo del género Cyathea, Iphanes simplex (palma) Brunellia boqueronenisis (cedrillo); Magnolia espinalii (magnolio de monte, gallinazo), podocarpus oleifolius (pino colombiano) existentes en la cuchilla El Romeral, El Alto de las Baldías y el Cerro del Padre Amaya, buscando la conectividad regional de la ladera occidental con el sistema Parque Central de Antioquia.
3. Preservar y restaurar el área de subpáramo del Alto de las Baldías por su gran potencial en la oferta de bienes y servicios ambientales y por su relevancia en términos ecológicos, educativos y científicos debido a la existencia de frailejones (Espelettia Occidentalis var antioquensis) y palma de ramo (Ceroxylon parvifrons).
4. Conservar los hábitats de especies de fauna silvestre que habitan el DMI, especialmente las catalogadas como endémicas, migratorias, amenazadas y en peligro de extinción, a través de repoblamientos con condiciones naturales para cada una de las especies mencionadas.
5. Fomentar procesos de restauración de suelos en áreas alta o medianamente erosionadas mediante el desestimulo de la expansión de la frontera agropecuaria en el área a menor intervención con el establecimiento de plantaciones forestales hacia las zonas donde aún existen condiciones naturales con bajo nivel de intervención.
6. Conservar los espacios naturales representativos para los pobladores del valle de Aburrá para el deleite y la valoración del paisaje como hitos geográficos más representativos como las Cuchillas Romeral y Baldías y Cerro del Padre Amaya. A través de la integración del paisaje productivo de significación económica, cultural y patrimonial como potencial para el ecoturismo y el agroturismo.
7. Fomentar la reconversión de los sistemas productivos tradicionales de alto impacto tales como la cultura agrícola, pecuaria y agroindustrial, para conservar la capacidad productiva de los mismos a través de procesos de capacitación con técnicas de producción más limpia, reconversión agroecológica, sistemas agroforestales, entre otros.","Bosques Alto Andinos montano bajo y montanos
Ecosistema de páramo","Acuerdo 327 del 2009, por el cual se modifica el Acuerdo 267 del 2007, y aprueba el Plan Integral de Manejo del Distrito de Manejo Integrado de los Recursos Naturales
Renovables Divisoria Valle de Aburrá – Río Cauca.                                                                          Acuerdo 670 del 2023, Por el cual se aprueba el ajuste y/o actualización del Plan de Manejo del Distrito Regional de Manejo Integrado Divisoria Valle de Aburrá – Río Cauca aprobado mediante Acuerdo 327 de 30 de septiembre de 2009; se ajusta su denominación, se establecen los Valores Objeto de Conservación y se ajustan los Objetivos de Conservación establecidos en el Acuerdo 387 de junio de 2011"
Reserva Forestal Protectora Regional,Cerro Bravo,892.619315,Acuerdo 298 del 21 de octubre de 2008,Fredonia y Venecia,"Tremarctos ornatus (Oso Andino)
Hypopyrrhus pyrohypogaster (Cacique Candela)
Potos flavus (Mico de Noche)","1. Preservar el Cerro tutelar de la RFP Cerro Bravo que constituye uno de los ecosistemas estratégicos más importantes de la región siendo además un referente geográfico del suroeste antioqueño. 
2. Preservar las poblaciones y los hábitats necesarios para la sobrevivencia de las especies de especial interés para la conservación de la biodiversidad, destacándose el Oso Andino (Tremarctos ornatus) y el ave endémica para Colombia Cacique Candela (Hypopyrrhus pyrohypogaster); así como las especies sombrilla definidas tales como Cedrela odorata L. (Cedro de montaña), Retrophyllum rospigliosii (Pilg.) C.N.Page (Pino Romerón), Quercus humboldtii Bonpl. (Roble), Magnolia spp. (Magnolios), y las especies que se encuentran en algún estado de amenaza como.
3. Proteger las coberturas de bosque denso y bosque de galería y ripario que cubren el 90,6% del área de la Reserva Forestal Protectora de tal manera que se garantice la viabilidad de las poblaciones de flora y fauna que allí se albergan.
4. Propiciar en la RFP Cerro Bravo la recuperación y conservación de las áreas con coberturas con algún grado de intervención, a través de acciones de restauración que permitan sustentar la oferta de biodiversidad y servicios ecosistémicos.
5. Garantizar la protección y regulación del área como estrella hidrográfica, donde se destacan los nacimientos, en el flanco occidental de la RFP, las quebradas La Tigra, La Amalia y El Rincón y en el flanco oriental de las quebradas El Cerro, San Pedro, El Gallinazo, Sabaletas, Grano de Oro, El Colegio, San Cristóbal, La Garrucha y la Arabia, entre otras.",Bosque premontano y montano bajo,"Acuerdo 298 del 2008, por el cual se declara, como reserva forestal protectora regional, el denominado Cerro Bravo y su zona de transición ambiental y se toman otras decisiones"
Reserva Forestal Protectora Regional,Alto San Miguel,"1,622.24231",Acuerdo 476 del 26 de septiembre de 2016,Caldas,"Bosque altoandino
Recurso hídrico
Comunidad de orquídeas
Felinos
Hypopyrrhus pyrohypogaster (Cacique candela)
Coendou pyrohypogaster (Puerco espín común)
Marmosops impavidus (Zarigüeya)  
Ceroxylon vogelianum (Palma de cera)","1. Preservar las áreas de ecosistemas de Bosques Altoandinos presentes en la cadena montañosa “San Miguel”, ubicada en el norte de la Cordillera Central, por su importancia en la regulación del recurso hídrico, hábitat de especies de flora y fauna, captura de CO2, belleza paisajística, educación ambiental y espacios para la investigación.
2. Preservar las coberturas vegetales y favorecer la regeneración natural de los ecosistemas de Bosques Altoandinos, como hábitat de especies endémicas y amenazadas.
3. Preservar y mejorar los hábitats de las especies de flora y fauna con algún grado de amenaza, cacique candela (Hypopyrrhus pyrohypogaster, VU), puerco espín común (Coendou prehensilis, VU), Marteja o mono nocturno (Aotus lemurinus, VU), Zarigueya (Marmosops impavidus), tigrillo lanudo (Leopardus tigrinus, VU), entre otros.
4. Conservar la oferta de bienes y servicios ambientales, especialmente el recurso hídrico en las áreas ubicadas en la cadena montañosa ¨San Miguel¨, en el norte de la Cordillera Central, por ser un área estratégica para el Valle de Aburra, y fuente de abastecimiento de la demanda hídrica de los habitantes de las veredas aledañas.",Bosque altoandino montano bajo,"Acuerdo 573 del 2019, por medio del cual se adopta el Plan de Manejo del Área Protegida de la Reserva Forestal Protectora Regional Alto de San Miguel y se  modifica el Acuerdo 476 del 2016."
Reserva Forestal Protectora Regional,Farallones de Citará,"30,094.71893",Acuerdo 299 del 21 de octubre de 2008,"Andes, Betania y Ciudad Bolívar","Quercus humboldtii (Roble andino)
 Wettinia kalbreyeri
Attalea amigdalina
Ceroxylon alpinum (Palma de Cera zona cafetera)
Juglans neotropica (Nogal)
Salvia pauciserrata (Salvia Pauciserrata)
Salvia venulosa
Aniba perutilis (Comino)
Magnolia espinalii
Magnolia hernandezii (Molinillo)
Magnolia yarumalensis (Gallinazo Morado) Magnolia jardinensis (Centello)
Dracula gorgonella
Passiflora trisulca
Podocarpus oleifolius (Pino Colombiano) Retrophyllum rospigliosii (Pino romeron)
Cedrela montana (Cedro)
Ficus dendrocida
Oreopanax Trianae
Croton mutisianus (Sangregado)
Alfaroa colombiana 
Cinchona cf. Pubescens.
Tremarctos ornatus (Oso Andino)
Odocoileus virginianus (Venado de Cola Blanca) 
Laguna de Santa Rita","1) Asegurar la continuidad de los procesos ecológicos y evolutivos naturales para mantener la diversidad biológica, teniendo en cuenta su alta integridad ecológica, lo cual favorece la alta riqueza de especies nativas y endémicas, además de la protección de especies con algún grado de amenaza. 
2) Mantener la conectividad natural desde las áreas de páramo, subpáramo, bosques altoandinos y tierras bajas permitiendo con ello la consolidación del corredor biológico PNN Paramillo – Reserva Insor - PNN Orquídeas – DMI Cerro Plateado Alto San José – DMI Nubes Capota Trocha - Parque Regional Natural Cuchilla del Alto San Juan - PNN Tatamá, sobre la Cordillera Occidental y a su vez de la Ecorregión del Biopacífico colombiano.
3) Conservar ecosistemas de bosques altoandinos, subpáramos y páramos que sirven de hábitat a poblaciones de especies de fauna y flora silvestre.
4) Mantener la oferta de bienes y servicios ambientales en cada una de las zonas en las que se clasifica la Reserva Forestal Protectora Farallones del Citará, especialmente la oferta de agua en cabeceras y nacimientos de ríos.
5) Preservar los ecosistemas presentes en la formación montañosa de los Farallones del Citará, donde se destacan 6 cerros tutelares considerados hitos geográficos y referentes paisajísticos de la región, (San Nicolás, La Teta, San Fernando, El Plateado, Caramanta, Paramillo).",Bosques Altoandino montano bajo y montano,"Acuerdo 299 del 2008, por el cual se declara, como reserva forestal protectora regional, el sistema montañoso denominado Farallones del Citará y su zona de transición ambiental y se toman otras decisiones."
Distrito Regional de Manejo Integrado,Quitasol - La Holanda,"68,875",Acuerdo No. 596 de 17 de noviembre de 2020,"Barbosa, Bello, Copacabana,
Girardota, Don Matías y San Pedro
de Los Milagros","Patrimonio arqueológico del cerro
Quitasol
Ortalis columbiana (Guacharaca)
Myiarchus apicalis (Atrapamoscas apical)
Atlapetes blancae (montañerito paisa)
Bangsia melanochlamys (Tangara negrigualda)
Hypopyrrhus pyrohypogaster (Cacique Candela)
Diglossa lafresnayii (Picaflor satinado)
Diglossa caerulescens (Picaflor Azul)
Diglossa brunneiventris vulleumieri (Picaflor rabiazul)
Diglossa cyanea cyanea (Pinchaflor enmascarado)
Chamapaetes goudotii goudotii (Pava maraquera)
Aburria aburri (pava negra)
Colinus cristatus leucotis (Perdiz común)
Leopardus pardalis (Ocelote)
Byrsonima crassifolia
Cedrela odorata (Cedro)
Cedrela montana (Cedro americano)
Cyathea (Helecho gigante)
Quercus humboldtii (Roble andino)","1. Conservar las fuentes hídricas, nacimientos, cuencas abastecedoras,
humedales, entre otros, presentes en el área del Distrito Regional de
Manejo Integrado Quitasol La Holanda, de manera que se garantice el
abastecimiento y uso adecuado y sostenible de los servicios
ecosistémicos de aprovisionamiento presentes en su interior.
2. Preservar la biodiversidad que conforma el Distrito Regional de Manejo
Integrado con especial énfasis en especies endémicas, amenazadas, o
en peligro, con el fin de mantener los procesos ecológicos evolutivos, así
como la composición, estructura y función de la biodiversidad.
3. Restaurar ecosistemas estratégicos, corredores biológicos, cuencas
hidrográficas y en general las áreas asignadas para ello, con el fin de
aumentar los procesos de conectividad ecológica, ampliar las áreas de
conservación y mejorar la calidad del hábitat.
4. Preservar el patrimonio arqueológico presente en el cerro Quitasol con el
fin de mantener los monumentos y relictos históricos localizados en este
cerro, acorde a lo dispuesto en la Ley 1185 de 2008, Decreto 1080 de
2015, Decreto 138 de 2019 y posteriores que los modifiquen.
5. Mantener y preservar las coberturas naturales asociadas a los bosques
Altoandinos que permitan conservar su composición, estructura y
funcionalidad ecológica.
6. Promover prácticas de uso y aprovechamiento de recursos naturales
renovables de manera sostenible, de forma tal, que las actividades que
se consideren nocivas contra el medio ambiente, vayan cambiando hacia
sistemas agroforestales, silvopastoriles u otros que permitan una
sostenibilidad del área protegida y el mejoramiento de la calidad de vida
de los pobladores locales.
7. Proteger sitios de interés turístico como senderos, cascadas, miradores,
charcos, zonas de camping, de manera que se garantice la provisión de
servicios ecosistémicos culturales para los pobladores del Valle de
Aburrá.
8. Promover la investigación y el monitoreo de información científica
relevante que permita contar con una línea base que pueda ser
monitoreada en el tiempo, evaluando el cumplimiento de los objetivos del
Distrito Regional de Manejo Integrado",Bosque altoandino montano bajo,Acuerdo 596 del 17 de diciembre de 2020
Distrito Regional de Manejo Integrado,Bosque Seco del Occidente Antioqueño,"70,166.87",Acuerdo No. 696 de 23 de diciembre de 2021,"Anzá, Armenia, Betulia, Buriticá, Ebéjico, Heliconia, Ituango, Liborina, Olaya, Sabanalarga, San Jerónimo, Santafé de Antioquia, Sopetrán y Toledo","Bosque Seco tropical (Cobertura) 
Especies de fauna de importancia ecológica Habia gutturalis, Ortalis columbiana, Hypopyrrhus pyrohypogaster, Thryophilus sernai, Capito hypoleucus y Ara militaris; de mamíferos como: Tapirus terrestres, Tayassu pecari, Aotus griseimembra, Aotus lemurinus, Dinomys branickii, Saguinus leucopus, Saguinus oedipus y Ateles geoffroyi; anfibios como: Bolitoglossa ramosi y Dendrobates truncatus; reptiles como: Anolissulcifrons, Kinosternon scorpioides e Iguana iguana. 
Especies de flora del bosque seco 
Aspidosperma polyneuron y Swartzia robiniifolia, así mismo una especie está como vulnerable (VU): Schmardaea microphylla. Finalmente, los apéndices CITES para la regulación del comercio de fauna y flora silvestre (CITES 2019) comprenden en su apéndice II las especies Opuntia elatior y Rhipsalis baccifera, así como los géneros Opuntia e Hylocereus. 
Recurso hídrico del DRMI 
incluye toda la red hidrica de caños, quebradas, ojos de agua y humedales, tanto permanente como temporales, que se encuentra constituido por las cuencas con afluentes Directos Río Cauca entre Río San Juan y Puerto Valdivia y las 25 subcuencas de sus afluentes","1 Conservar y proteger el ecosistema Bosque Seco Tropical (bs-T), con el fin de garantizar la conectividad y disminuir la fragmentación en la zona. 
2 Conservar y proteger el recurso hídrico y su biota asociada, con el fin de mantener la conectividad fluvial y migratoria de las comunidades hidrobiológicas. 
3 Restaurar y recuperar la cobertura vegetal, suelos y atributos ecológicos del bs-T, con el fin de mejorar las condiciones del hábitat de las especies representativas y características del bs-T. 
4 Recuperar y conservar los bienes y servicios ambientales de vital importancia para la sostenibilidad ambiental del bs-T, y su asociación con las comunidades. 
5 Promover el uso sostenible y armónico de los bosques y su biodiversidad asociada, por parte de las comunidades que habitan en el bs-T. 
6 Recuperar y mantener la valoración social y ecológica de las manifestaciones culturales y antropogénicas asociadas con la conservación de los bosques y/o elementos de su biodiversidad asociada por parte de las comunidades de la zona.",Bosque Seco Tropical,Acuerdo 626 del 23 de diciembre de 2021
Distrito Regional de Manejo Integrado,Bajo Cauca - Nechí,"75,802.79",Acuerdo No. 675 del 22 de diciembre de 2023,"Anorí, Cáceres y Zaragoza","Jaguar (Panthera onca)
Oso Andino (Tremarctos ornatus)
Torito dorsiblanco (Capito hypoleucus)
Mono araña café (Ateles hybridus)
Palma de cera Sasaima (Ceroxylon sasaimae)
Nicuro o Barbudo (Pimelodus grosskopfii).","1. Mantener la conectividad de los ecosistemas que componen el área del Distrito Regional de Manejo Integrado Bajo Cauca - Nechí, preservando y restaurando las coberturas boscosas, de tal manera que continúen aportando al flujo biológico entre la Serranía de San Lucas y el nudo de Paramillo; en especial el tránsito del Jaguar (Panthera onca) y el Oso Andino (Tremarctos ornatus).
2. Conservar el hábitat de especies de fauna y flora endémicas o con distribución geográfica restringida: Torito Dorsiblanco (Capito hypoleucus), Mono Araña (Ateles hybridus) y Palma de Cera de Sasaima (Ceroxylon sasaimae).
3. Recuperar las zonas deterioradas y degradadas por minería o por ganadería en zonas de ladera y área forestal protectora de ríos y quebradas, mediante un trabajo concertado con los actores del territorio y teniendo como especie emblemática al Nicuro o Barbudo (Pimelodus grosskopfii).
4. Promover el uso sostenible y armónico de los bosques y su biodiversidad asociada, por parte de las comunidades que habitan el área del Distrito Regional de Manejo Integrado Bajo Cauca - Nechí.
5. Fortalecer el uso sostenible en los sistemas productivos en las formas y medios de vida de las comunidades campesinas que habitan el área del Distrito Regional de Manejo Integrado Bajo Cauca - Nechí, como estrategia de fortalecimiento del arraigo al territorio y la transformación de las actividades tradicionales de producción.","Bosque Basal Húmedo (37,5%)
Bosque Subandino Húmedo (27,5%)",Acuerdo 675 del 22 de diciembre de 2023
